product_id,product_name,category,brand,price_inr,stock_qty,rating,description
PROD-205,Lenovo IdeaPad Slim 5 Laptop,Laptops,Lenovo,58999,42,4.3,"A reliable everyday laptop powered by Intel Core i5 13th gen processor with 16GB DDR5 RAM and 512GB SSD storage. Features a 14 inch 2.2K IPS display with 100 percent sRGB color gamut making it suitable for content creators, students and office professionals. Includes backlit keyboard, fingerprint reader, dual speakers tuned by Dolby Audio, Wi-Fi 6E and a full day battery life of around 10 hours. Lightweight at 1.46 kg and ships with Windows 11 Home pre-installed."
PROD-118,Sony WH-1000XM5 Headphones,Audio,Sony,29990,78,4.7,"Industry leading wireless noise cancelling headphones with 8 microphones and Sony Auto NC Optimizer that adapts to your environment in real time. Delivers up to 30 hours of battery life with quick charge giving 3 hours of playback in just 3 minutes. Supports LDAC and Hi-Res Audio Wireless, multipoint connection to two devices simultaneously, and crystal clear hands free calling. Comfortable lightweight design with soft synthetic leather earpads. Ideal for travel, work from home and immersive music listening."
PROD-301,Logitech MX Master 3S Mouse,Accessories,Logitech,9495,156,4.6,"Premium wireless performance mouse with 8000 DPI Darkfield high precision sensor that tracks on virtually any surface including glass. Features quiet click technology that is 90 percent quieter, MagSpeed electromagnetic scrolling that can scroll 1000 lines in a second, and customizable buttons through Logi Options Plus software. Connects via Bluetooth or Logi Bolt USB receiver to up to 3 devices with Easy Switch. Up to 70 days of battery life on a single full charge. Perfect for developers, designers and power users."
PROD-412,Anker 65W GaN Charger,Accessories,Anker,3499,234,4.5,"Compact gallium nitride based 65 watt fast charger with three ports including two USB-C and one USB-A. Can charge a 13 inch MacBook Pro to 50 percent in just 47 minutes. Smart power allocation automatically distributes wattage across connected devices. Foldable plug design makes it travel friendly fitting easily in a laptop bag. Includes ActiveShield 2.0 temperature monitoring for safety. Compatible with iPhone, iPad, Samsung Galaxy, MacBook and most USB-C laptops."
PROD-507,Apple MacBook Air M3,Laptops,Apple,114900,28,4.8,"Apple silicon M3 chip with 8 core CPU and 10 core GPU delivers exceptional performance and efficiency. Equipped with 16GB unified memory and 512GB SSD storage. Features a stunning 13.6 inch Liquid Retina display with 500 nits brightness and P3 wide color. MagSafe charging, two Thunderbolt ports, 1080p FaceTime HD camera and a 4 speaker sound system with Spatial Audio. Up to 18 hours of battery life and completely fanless silent operation. Perfect for video editing, software development, design work and professional content creation."
PROD-220,Samsung 27 inch 4K Monitor,Monitors,Samsung,32499,64,4.4,"Professional 27 inch 4K UHD monitor with 3840x2160 resolution, IPS panel and 99 percent sRGB color accuracy ideal for designers, photographers and video editors. HDR10 support with 350 nits peak brightness. Includes USB-C connectivity with 65W power delivery, HDMI 2.0, DisplayPort 1.2 and built in USB hub. Adjustable height stand with tilt, swivel and pivot. Eye saver mode and flicker free technology for reduced eye fatigue during long work sessions."
PROD-601,Asus ROG Strix G16 Gaming Laptop,Laptops,Asus,142999,17,4.6,"High performance gaming laptop with Intel Core i9 13th gen 14 core processor and NVIDIA RTX 4070 8GB graphics card. Features 32GB DDR5 RAM and 1TB PCIe Gen 4 SSD. 16 inch QHD plus display with 240Hz refresh rate, 3ms response time and Pantone validated color accuracy. ROG intelligent cooling with vapor chamber, per key RGB backlit keyboard, Dolby Atmos audio. Excellent for AAA gaming, 3D rendering, machine learning workloads and high end content creation."
PROD-708,Dell XPS 13 Plus Laptop,Laptops,Dell,124999,22,4.5,"Ultra premium thin and light laptop with Intel Core i7 13th gen, 16GB LPDDR5 RAM and 512GB NVMe SSD. Stunning 13.4 inch OLED touch display with 3.5K resolution, 400 nits brightness and Dolby Vision support. Edge to edge zero lattice keyboard, capacitive touch function row, seamless glass touchpad. Built from machined aluminum with Gorilla Glass 7 palm rest. Ideal for executives, consultants and professionals who want a premium portable workstation."
PROD-822,JBL Tune 760NC Headphones,Audio,JBL,5999,189,4.2,"Budget friendly wireless over ear headphones with active noise cancelling that blocks out distractions. Pure Bass sound with 40mm drivers. Up to 35 hours battery life with ANC on and 50 hours with ANC off. Quick charge gives 3 hours playback in 5 minutes. Bluetooth 5.0 with multipoint connection. Foldable design with detachable cable for wired use. Great entry level option for students and casual listeners."
PROD-905,Apple iPad Air M2,Tablets,Apple,59900,54,4.7,"11 inch Liquid Retina display with M2 chip delivering desktop class performance. 128GB storage, 8GB RAM, Wi-Fi 6E. Supports Apple Pencil Pro and Magic Keyboard for iPad. 12MP wide camera, landscape 12MP ultra wide front camera with Center Stage. Touch ID in the top button, USB-C connectivity, all day battery life. Excellent for digital artists using Procreate, students taking notes, and professionals who need a versatile portable device."
PROD-1010,Samsung Galaxy Watch 7,Wearables,Samsung,32999,87,4.4,"Premium smartwatch with advanced health tracking including continuous heart rate, ECG, blood pressure monitoring and sleep apnea detection. AI powered sleep coaching and personalized wellness tips. 44mm sapphire crystal display, 5ATM water resistance and IP68 rating. Up to 40 hour battery life with always on display. Built in GPS, NFC payments, voice calls over LTE. Excellent fitness companion for runners, swimmers and health conscious users."
PROD-1122,Bose QuietComfort Ultra Earbuds,Audio,Bose,26900,63,4.6,"Premium true wireless earbuds with world class noise cancellation and immersive audio with head tracking. CustomTune technology personalizes sound to your ears. Up to 6 hours playback with ANC, 24 hours total with charging case. IPX4 water resistance, multipoint connection, wireless charging case. Perfect for daily commute, gym workouts and audiophiles who want premium sound in a compact form factor."
PROD-1233,LG Gram Pro 16 Laptop,Laptops,LG,134999,19,4.5,"Ultra lightweight 16 inch laptop weighing just 1.2 kg making it one of the lightest in its class. Intel Core Ultra 7 processor, 16GB LPDDR5X RAM, 512GB NVMe SSD. 16 inch WQXGA plus OLED display with 120Hz refresh rate, DCI-P3 100 percent color accuracy and anti glare coating. Dual fan cooling, harman kardon speakers, military grade durability certification. Ideal for traveling professionals, executives and creators who need a large screen without the weight."
PROD-1344,Apple AirPods Pro 2,Audio,Apple,24900,142,4.7,"Adaptive audio that dynamically blends Active Noise Cancellation and Transparency mode. H2 chip enables Personalized Spatial Audio, conversation awareness, and twice the active noise cancellation of previous generation. Up to 6 hours of listening time with ANC on, 30 hours with MagSafe charging case. USB-C charging case with built in speaker for Find My. IP54 sweat and water resistant. Seamless integration with Apple ecosystem makes this the top pick for iPhone and Mac users."
PROD-1455,Razer DeathAdder V3 Pro Gaming Mouse,Accessories,Razer,16999,72,4.5,"Esports grade wireless gaming mouse weighing only 63 grams with Focus Pro 30K optical sensor for pixel perfect tracking. Razer HyperSpeed Wireless technology with 1000Hz polling rate. Optical mouse switches rated for 90 million clicks. Up to 90 hours battery life. Ergonomic right handed shape designed with input from top esports professionals. Suitable for competitive FPS gamers, streamers and anyone serious about gaming performance."
